Startup,Industry,TotalFunding,Status,Country,City,FundingRounds,FoundedAt,FirstFundingAt,LastFundingAt,StatusCode
FundsIndia,Finance|Financial Services,15412000,operating,IND,Chennai,3,01-01-2009,01-07-2010,18-06-2015,0
Furdo,Internet,400000,operating,IND,Bangalore,1,01-11-2014,22-09-2015,22-09-2015,0
Furlenco,Consumers,6000000,operating,IND,Bangalore,1,01-01-2011,23-03-2015,23-03-2015,0
Furor Technologies Pvt. Ltd.,B2B|Cloud Data Services|E-Commerce|Internet of Things|Marketplaces,-,operating,IND,Gurgaon,1,01-01-2014,30-09-2014,30-09-2014,0
Fusion Microfinance,Finance,12800000,operating,IND,New Delhi,2,01-01-2010,01-01-2013,25-06-2015,0
Fxkart.com,E-Commerce,2000000,operating,IND,Bengaluru,1,,25-03-2015,25-03-2015,0
Fynd,,-,operating,IND,Mumbai,1,22-10-2015,19-10-2015,19-10-2015,0
G2One Network,Brand Marketing|Design|Graphics|Media|Optimization|Public Relations|Publishing|Sales and Marketing|Software,-,operating,IND,New Delhi,2,05-06-2011,03-02-2012,09-07-2013,0
Gaana,Games,-,operating,IND,New Delhi,1,,15-10-2015,15-10-2015,0
Gadgets 360°,Broadcasting|Media,-,operating,IND,New Delhi,1,01-01-1989,17-08-2015,17-08-2015,0
Gadgetwood,Software,-,operating,IND,New Delhi,1,01-01-2013,14-04-2015,14-04-2015,0
Games2Win,Games,13000000,operating,IND,Mumbai,3,01-01-2005,29-03-2007,15-03-2013,0
GameXS,Entertainment|Games,-,operating,IND,Gurgaon,1,21-04-2012,22-09-2015,22-09-2015,0
GAP Miners,Curated Web|Discounts|Sales and Marketing|Software,500000,operating,IND,Hyderabad,1,01-02-2008,01-01-2008,01-01-2008,0
Gapoon,E-Commerce Platforms,-,operating,IND,Bangalore,1,27-03-2015,02-08-2015,02-08-2015,0
Gati Infrastructure,Clean Technology,43000000,operating,IND,Secunderabad,1,01-01-2003,28-06-2013,28-06-2013,0
Gayatrishakti Paper & Boards,Manufacturing,4000000,operating,IND,Gujrat,1,01-01-1996,23-04-2014,23-04-2014,0
Gecko,Hardware + Software,50000,operating,IND,Bangalore,1,01-01-2007,11-10-2013,11-10-2013,0
GemPundit,E-Commerce|Internet|Jewelry,-,operating,IND,Gurgaon,1,19-11-2012,08-10-2014,08-10-2014,0
Genii Technologies,Mobile|New Product Development|Software|Startups|Web Development,100000,acquired,IND,Mumbai,2,01-05-2011,12-05-2011,01-04-2014,2
GenY Medium,Social Media,500000,operating,IND,Hyderabad,1,01-01-2011,30-05-2013,30-05-2013,0
Germin8,Analytics|Big Data|Social Media,5400000,operating,IND,Mumbai,2,01-01-2007,01-01-2013,27-03-2014,0
Get My Peon,Professional Services,250000,operating,IND,Mumbai,1,01-01-2012,26-06-2015,26-06-2015,0
Getit InfoServices,Search,36400000,operating,IND,New Delhi,1,,03-06-2013,03-06-2013,0
GetLook,Consumer Goods,-,operating,IND,Bangalore,1,01-01-2015,17-08-2015,17-08-2015,0
GetLunchin.com,E-Commerce|Restaurants,48495,operating,IND,Mumbai,1,03-11-2014,05-12-2014,05-12-2014,0
GetNow.At,Consumer Goods|Delivery|Groceries|Logistics|Marketplaces|Online Shopping|Retail Technology|Startups,-,operating,IND,Nagpur,1,02-11-2014,03-07-2015,03-07-2015,0
GetVu,Information Technology|Innovation Management|Service Providers,25000,closed,IND,Coimbatore,1,,21-01-2014,21-01-2014,1
GIBSS,Environmental Innovation,-,operating,IND,Mumbai,1,01-01-2010,07-08-2015,07-08-2015,0
Gift2Greet.com,E-Commerce,250000,operating,IND,Madhapur,1,01-01-2007,01-01-2014,01-01-2014,0
GiftCardsIndia,,-,operating,IND,Malad,1,,11-11-2014,11-11-2014,0
Giftindia24x7.com,Gift Exchange|Online Shopping|Shopping,-,operating,IND,Kolkata,1,01-01-2001,02-01-2001,02-01-2001,0
Giftology,Social Media,-,closed,IND,New Delhi,1,,31-01-2013,31-01-2013,1
Giftxoxo,E-Commerce,-,operating,IND,Bangalore,1,01-01-2012,10-07-2013,10-07-2013,0
GigsJam,Music|Music Services|Social Network Media,8000,ipo,IND,New Delhi,1,23-07-2014,23-07-2014,23-07-2014,2
Gigstart,Enterprises|Marketplaces,210000,operating,IND,New Delhi,2,01-01-2013,05-07-2014,04-12-2014,0
Gingercrush,Retail,-,operating,IND,Vadodara,1,,11-11-2015,11-11-2015,0
Gingersoft Media,Advertising,2000000,closed,IND,Bangalore,1,,29-11-2007,29-11-2007,1
Gingr,Mobile,28000,operating,IND,Gurgaon,1,,15-10-2012,15-10-2012,0
Gini & Jony,E-Commerce,18000000,operating,IND,Mumbai,1,01-01-1980,14-05-2013,14-05-2013,0
GirnarSoft,Enterprise Software|Mobile Software Tools|Mobility|Web Development,65000000,operating,IND,Jaipur,2,01-11-2007,20-11-2013,28-01-2015,0
Giveter,Advertising,500000,operating,IND,Haryana,1,01-01-2012,16-12-2013,16-12-2013,0
Gland Pharma,Biotechnology,200000000,operating,IND,Hyderabad,1,,28-11-2013,28-11-2013,0
Global Talent Track,Corporate Training|EdTech|Education|Information Technology|Outsourcing,-,operating,IND,Pune,1,01-01-2008,14-01-2009,14-01-2009,0
Glowship,Retail,-,operating,IND,Bangalore,1,01-01-2014,03-08-2015,03-08-2015,0
GMR Group,Consulting,398350000,operating,IND,Bangalore,1,01-01-1978,27-01-2014,27-01-2014,0
GoCoop,Software,70000,operating,IND,Bangalore,2,01-01-2011,17-12-2013,17-12-2013,0
GoJavas,Technology,20000000,operating,IND,Gurgaon,1,01-01-2013,07-10-2015,07-10-2015,0
GoldVIP Technology Solutions (Crown-it),Software,5500000,operating,IND,Haryana,1,01-01-2013,18-05-2015,18-05-2015,0
GolfLAN,Communities|Golf Equipment|Sports,-,operating,IND,New Delhi,1,01-03-2013,25-03-2015,25-03-2015,0
GoodBox,Messaging,2700000,operating,IND,Bengaluru,2,01-01-2015,26-05-2015,18-11-2015,0
Goodservice,Internet,1600000,operating,IND,New Delhi,1,01-01-2014,23-06-2015,23-06-2015,0
GoodsRelocate,Travel,7531,operating,IND,Ghaziabad,1,14-06-2014,02-09-2015,02-09-2015,0
Gorkha,Travel & Tourism,160000,operating,IND,Mumbai,1,01-02-2014,16-03-2015,16-03-2015,0
WowTables,Internet|Online Reservations|Restaurants,300000,operating,IND,Mumbai,1,01-01-2012,27-10-2014,27-10-2014,0
GoZopping.com,E-Commerce|Groceries|Logistics|Online Shopping,-,operating,IND,Udaipur City,1,21-06-2014,01-01-2015,01-01-2015,0
Grab,Delivery|Enterprises|Restaurants,1000000,operating,IND,Mumbai,1,,27-04-2015,27-04-2015,0
Grabhouse,Real Estate,13000000,operating,IND,Mumbai,4,01-03-2013,21-01-2014,08-10-2015,0
GrabInbox,Facebook Applications|Social Media|Social Network Media|Twitter Applications,40000,operating,IND,Mumbai,1,14-01-2011,20-06-2011,20-06-2011,0
GrabOn,Coupons|E-Commerce|Shopping|Technology,250000,operating,IND,Hyderabad,1,15-07-2013,28-11-2014,28-11-2014,0
GradeStack,Education,-,operating,IND,Noida,1,01-09-2012,28-03-2014,28-03-2014,0
Grama Vidiyal Micro Finance,Finance,-,operating,IND,,1,,07-01-2014,07-01-2014,0
Gramco,Real Estate,2300000,operating,IND,Indore,1,01-01-2009,26-08-2013,26-08-2013,0
Grameen Financial Services,Finance,21556050,operating,IND,Bangalore,2,01-01-1999,04-12-2013,16-05-2014,0
GramVaani,Audio|Internet Radio Market|Social Media|Social Network Media,500000,operating,IND,New Delhi,1,01-01-2009,08-07-2013,08-07-2013,0
Gray Routes Innovative Distribution,Mobile,110000,operating,IND,Mumbai,1,01-03-2013,23-07-2013,23-07-2013,0
Greencart,E-Commerce,1500000,operating,IND,Mumbai,1,01-01-2013,28-03-2014,28-03-2014,0
GreenDust,E-Commerce,40000000,operating,IND,Delhi,1,01-10-2008,28-06-2012,28-06-2012,0
Greenko Group,Clean Technology,241983286,ipo,IND,Hyderabad,2,,28-01-2010,24-10-2014,2
GREX,Financial Services,625000,operating,IND,Pune,1,01-01-2014,04-08-2015,04-08-2015,0
Greymeter,Brand Marketing,-,operating,IND,New Delhi,2,,25-07-2014,01-01-2015,0
Greytip Software,Human Resources|SaaS|Software,-,operating,IND,Bangalore,1,,26-06-2014,26-06-2014,0
Cubeit,Application Platforms|Innovation Management|Startups|Technology,3000000,operating,IND,Bangalore,1,01-01-2012,02-09-2014,02-09-2014,0
Gridle.io,Cloud Computing|Collaboration|Enterprises|Enterprise Software|File Sharing|Messaging|SaaS|Task Management,130000,operating,IND,Ahmedabad,4,24-09-2013,20-08-2013,12-10-2015,0
GrocShop,Consumer Goods|E-Commerce|Emerging Markets|Groceries|Online Shopping|Retail,-,operating,IND,Mumbai,1,05-05-2014,25-06-2015,25-06-2015,0
GrocTail,E-Commerce,20000,operating,IND,Pune,1,,01-02-2015,01-02-2015,0
Grofers,Consumer Electronics|Groceries|Pharmaceuticals|Retail,165500000,operating,IND,Gurgaon,4,27-12-2013,08-12-2014,26-11-2015,0
Groupe Athena,Biotechnology,2355000,operating,IND,Mumbai,1,01-01-2008,03-03-2010,03-03-2010,0
Groupon India,Internet Service Providers,20000000,operating,IND,New Delhi,1,01-01-2011,10-03-2015,10-03-2015,0
GrownOut,Enterprise Software|Information Technology|Social Network Media,40000,operating,IND,New Delhi,2,01-01-2013,01-06-2014,07-10-2014,0
GTI Capital Group,Finance,-,operating,IND,New Delhi,1,,01-03-2011,01-03-2011,0
Guiddoo World,Audio|Mobile|Travel & Tourism,-,operating,IND,Mumbai,1,01-01-2013,10-06-2015,10-06-2015,0
Gungroo,Android|Apps|Chat|Education|Educational Games|Edutainment|iOS|iPad|iPhone|Kids|Messaging|Parenting,-,operating,IND,Bangalore,1,01-04-2012,01-04-2012,01-04-2012,0
GupShup,Mobile,33000000,operating,IND,Mumbai,3,01-06-2004,22-12-2006,02-03-2010,0
Guruji,Search,15000000,closed,IND,Bangalore,2,12-10-2006,01-01-2006,01-01-2007,1
GVK Biosciences,Analytics|Manufacturing|Service Providers,25000000,operating,IND,Hyderabad,1,,26-11-2007,26-11-2007,0
GyanLab,Analytics|EdTech|K-12 Education|Parenting,-,operating,IND,Bangalore,1,20-01-2011,31-03-2015,31-03-2015,0
Gympik,Health and Wellness,135000,operating,IND,Bangalore,1,01-01-2012,06-01-2015,06-01-2015,0
GymTrekker,Fitness,-,operating,IND,Mumbai,1,,14-10-2015,14-10-2015,0
HackerEarth,Software,500000,operating,IND,Bangalore,2,01-01-2012,01-06-2013,24-02-2014,0
Hackmania,Education|Search,10000,operating,IND,Secunderabad,1,10-10-2014,02-01-2015,02-01-2015,0
Haier,Home Automation,364000000,operating,IND,New Delhi,1,,08-12-2013,08-12-2013,0
HandyHome,Consumers,500000,operating,IND,Mumbai,1,01-01-2015,01-07-2015,01-07-2015,0
Hansa Customer,Marketing Automation,4700000,operating,IND,Mumbai,1,01-01-2008,18-06-2015,18-06-2015,0
Happay,Software,500000,operating,IND,Whitefield,1,01-01-2012,23-04-2015,23-04-2015,0
Happiest Minds Technolgoies,Software,45000000,operating,IND,Bangalore,1,29-08-2011,16-11-2011,16-11-2011,0
Happitoo,Information Technology,77000,operating,IND,Mumbai,1,01-01-2012,26-10-2015,26-10-2015,0
Harness Handitouch,EdTech|Education|Technology,-,operating,IND,Chennai,1,,20-03-2015,20-03-2015,0
HasGeek,Events|Public Relations|Training,-,operating,IND,Bangalore,1,15-12-2010,01-04-2014,01-04-2014,0
Head Held High,Nonprofits,408225,operating,IND,Bangalore,1,30-06-2007,13-08-2013,13-08-2013,0
Healers at Home,,-,operating,IND,Delhi,1,01-01-2014,23-11-2015,23-11-2015,0
HealthcareMagic,Health and Wellness|Health Care|Health Care Information Technology|Internet,2500000,acquired,IND,Bangalore,1,05-02-2008,12-02-2009,12-02-2009,2
HealthHiway,Enterprise Software|Health Care|Information Technology,4000000,operating,IND,Hyderabad,1,,04-09-2009,04-09-2009,0
HealthifyMe,Health and Wellness,-,operating,IND,Bangalore,2,01-01-2012,03-02-2014,18-06-2015,0
Healthkart,E-Commerce,-,operating,IND,Gurgaon,1,01-03-2011,07-06-2013,07-06-2013,0
HealthyWorld.in,Health and Wellness,200000,operating,IND,Mumbai,1,01-01-2011,19-01-2015,19-01-2015,0
Hearing Plus,,-,operating,IND,Kolkata,1,,12-08-2014,12-08-2014,0
Heckyl,Analytics|Finance,4750000,operating,IND,Mumbai,3,09-12-2010,01-01-2012,10-12-2013,0
Hector Beverages,Consumer Goods|Specialty Foods,36700000,operating,IND,Haryana,2,01-01-2009,20-05-2013,06-07-2015,0
Helical IT Solutions,Business Intelligence|Data Mining|Data Visualization|Software,2500000,operating,IND,Hyderabad,1,05-11-2012,10-05-2013,10-05-2013,0
Hello Curry,Hospitality,500000,operating,IND,Hyderabad,1,,07-03-2014,07-03-2014,0
Hellotravel,E-Commerce|Online Shopping,-,operating,IND,Noida,1,01-01-2009,09-05-2014,09-05-2014,0
HelpingDoc,Health and Wellness,1655236,operating,IND,New Delhi,2,01-11-2011,01-01-2011,07-08-2014,0
HeyPillow,Internet,3000000,operating,IND,Bengaluru,1,01-01-2014,19-11-2015,19-11-2015,0
hike,Messaging|Mobile,86000000,operating,IND,New Delhi,3,12-12-2012,25-04-2013,26-08-2014,0
